Linha,Nome,Usuário,Setor,Andar,IP,Endereço MAC,Ponto,Comentario
1,DESKTOP-V3TPL15,,Sala TI 4 andar - M,4 andar - M,192.168.6.96,C8:08:E9:5D:DF:F8,,
2,US,,US 3 andar- M,3 andar - M,192.168.6.41,C4:00:AD:89:B4:EB,,"Advantech Technology (CHINA) Co., Ltd."
3,idrac-414HNY3 Pacs Mamo,,Sala laudo 3 andar - M,3 andar - M,192.168.6.143,20:88:10:B9:27:5A,,
4,DESKTOP-3O1VPDF,,Sala andrea 3 andar - M,3 andar - M,192.168.6.213,94:DE:80:F4:40:94,,"GIGA-BYTE TECHNOLOGY CO.,LTD."
5,Printer etiqueta ,,Recepção 3 andar - M,3 andar - M,192.168.6.28,00:0D:70:14:CE:41,,Datamax Corporation
6,stand alone Intelbras,,matriz 3 andar CPD - M,3 andar - M,192.168.1.202,18:0D:2C:13:E5:9C,,
7,stand alone Intelbras,,CPD 3 andar - M,3 andar - M,192.168.6.201,58:10:8C:8D:17:D7,,
8,stand alone Intelbras,,CPD 3 andar - M,3 andar - M,192.168.6.200,58:10:8C:8D:17:D9,,Intelbras
9,stand alone Intelbras,,CPD 3 andar - M,3 andar - M,192.168.6.199,58:10:8C:8D:17:D2,,
10,Stand alone,,CPD 3 andar - M,3 andar - M,192.168.6.110,80:85:44:7B:DE:DD,,
11,Routerboard.com,,CPD 3 andar - M,3 andar - M,192.168.6.1,DC:2C:6E:0E:F3:52,,
12,menuvivofibra,,CPD 3 andar - M,3 andar - M,192.168.1.254,98:7E:CA:03:E0:60,,
13,srvpacs,Katiane,3 andar mulher - M,3 andar - M,192.168.6.8,20:88:10:B9:27:60,,Server PACS mama
14,DESKTOP-VR1S2D0,Pax Mamografia,3 andar mulher - M,3 andar - M,192.168.6.7,CC:96:E5:2B:57:78,,Work station
15,Drypix,Catiane,3 andar mulher - M,3 andar - M,192.168.6.52,00:C0:2D:29:57:E1,,Qualimagem (detentor)
16,DESKTOP-K8U098K,Catiane,3 andar mulher - M,3 andar - M,192.168.6.122,74:86:E2:F6:DA:78,,
17,DESKTOP-9HI5DCL,Marlusia,3 andar mulher - M,3 andar - M,192.168.1.23,F0:4D:A2:E5:90:7C,,Work station denstrometria
18,C711-FE087D,Catiane,3 andar mulher - M,3 andar - M,192.168.1.210,00:25:36:FE:08:7D,,
19,DESKTOP-0S96M06,Andreia / Luana,3 andar mulher - M,3 andar - M,192.168.1.198,FC:AA:14:F5:D2:4A,,
20,A8002323,,US 2 nova - M,2 andar - M,192.168.6.55,A0:36:BC:CC:B2:66,53,
21,DESKTOP-TGJQL2M,,US 2 nova - M,2 andar - M,192.168.6.34,00:E0:24:3D:1A:7C,54,
22,PC,,US 2 nova - M,2 andar - M,192.168.1.101,74:86:7A:F7:E6:80,54,
23,DESKTOP-PKK3G9F,Laiza,Sala US 2 andar 1 - M,2 andar - M,192.168.6.37,74:56:3C:F2:56:09,,
24,US 01,,Sala US 2 andar - M,2 andar - M,192.168.6.40,C4:00:AD:98:A6:C1,,
25,NXDX2,José Carlos,Sala raio x 2 andar - M,2 andar - M,192.168.6.92,E0:73:E7:0C:7B:17,,NX AGFA (workstation)
26,NXDX1,Devair,Sala raio x 2 andar - M,2 andar - M,192.168.6.91,5C:60:BA:35:56:BB,,NX AGFA (workstation)
27,RX Eleva,Devair,Sala Raio X - 2 andar - M,2 andar - M,192.168.6.190,00:00:60:DF:1C:55,,
28,NXMIX,José Carlos,Sala Raio X - 2 andar - M,2 andar - M,192.168.6.171,6C:3B:E5:39:E4:9C,,CR AGFA
29,EPSONE42557,,Sala laudo 2 andar - M,2 andar - M,192.168.6.109,DC:CD:2F:E4:25:57,,
30,Printer etiqueta ,,Recepção 2 andar - M,2 andar - M,192.168.6.18,78:5F:4C:02:2D:DF,,"Argox Information Co, Ltd"
31,CR85-X,José Carlos,Raio X 2 andar - M,2 andar - M,192.168.6.102,08:00:66:81:6C:71,,AGFA CORPORATION
32,AH26322948,Marlucia,Mamografia 2 mulher - M,2 andar - M,192.168.6.172,50:81:40:25:17:1E,,
33,DESKTOP-MBKKVOQ,Doutor Elitom,Laudo 2 andar - M,2 andar - M,192.168.6.77,74:86:7A:FB:98:28,,
34,EPSONE36735,,Laudo 2 andar - M,2 andar - M,192.168.6.119,DC:CD:2F:E3:67:35,,Impressora
35,Roteador Printers Epson,,Laudo 2 andar - M,2 andar - M,192.168.6.118,A8:42:A1:F4:67:B6,,
36,DESKTOP-4AFU5N3,Doutor Sandro,Laudo 2 andar - M,2 andar - M,192.168.6.112,A8:A1:59:14:C7:C0,,
37,DESKTOP-04BOQ68,Leticia,2 andar - Rec - M,2 andar - M,192.168.6.14,D0:94:66:E8:A9:33,,PC 1
38,Printer film,Raio X,2 Andar - M,2 andar - M,192.168.6.6,00:C0:2D:28:C4:81,,Qualimagem (detentor)
39,C711-F1883C,,2 Andar - M,2 andar - M,192.168.1.9,00:25:36:F1:88:3C,,Printer oki
40,SERVER-DICOMVIX,,CPD 2 andar - F02,2 andar - F02,192.168.6.150,20:88:10:D4:8C:B8,,
41,Routerboard.com,,CPD 2 andar - F02,2 andar - F02,192.168.1.76,DC:2C:6E:0E:F6:9A,,
42,idrac-DG673N2,,CPD 2 andar - F02,2 andar - F02,192.168.1.203,D0:94:66:A3:96:24,,idrac servidor ris antigo
43,SERVER-DICOMVIX,,CPD 2 andar - F02,2 andar - F02,192.168.1.180,20:88:10:D4:8C:B8,,Em produção
44,idrac-PACS,,CPD 2 andar - F02,2 andar - F02,192.168.1.172,20:88:10:D4:8C:B2,,idrac servidor novo em produção
45,SERVER-DICOMVIX,,CPD 2 andar - F02,2 andar - F02,192.168.1.170,20:88:10:D4:8C:B8,,Em produção
46,SERVER-DICOMVIX,,CPD 2 andar - F02,2 andar - F02,192.168.1.160,20:88:10:D4:8C:B8,,Em produção
47,CLINUX,,CPD 2 andar - F02,2 andar - F02,192.168.1.156,D0:94:66:A3:96:22,,Sair de produção (antigo)
48,SERVER-DICOMVIX,,CPD 2 andar - F02,2 andar - F02,192.168.1.155,20:88:10:D4:8C:B8,,Sair de produção (antigo)
49,SERVER-DICOMVIX,,CPD 2 andar - F02,2 andar - F02,192.168.1.150,20:88:10:D4:8C:B8,,Em produção
50,Workstation tomografia,,Sala comando - F02,2 andar - F02,192.168.1.80,F4:8E:38:E4:D1:CD,173,
51,Intelbras Standalone,,CPP 2 andar - F02,2 andar - F02,192.168.1.249,58:10:8C:22:78:50,,
52,US Affiniti70G,,Sala US1 1 andar - M,1 andar - M,192.168.6.231,00:04:5F:70:C3:15,,
53,DESKTOP-JMSD6H9,Gabriela,Sala Admin 1 andar - M,1 andar - M,192.168.6.17,0C:9D:92:86:40:1C,,ASUSTek COMPUTER INC.
54,DESKTOP-LHSUH6S,Daiane,Sala Admin 1 andar - M,1 andar - M,192.168.6.11,0C:9D:92:86:40:08,,ASUSTek COMPUTER INC.
55,BRNB42200255794,,Sala Adm 1 andar - M,1 andar - M,192.168.1.230,B4:22:00:25:57:94,,impressora brother
56,Printer etiqueta ,,Recepção 1 andar - M,1 andar - M,192.168.6.16,78:5F:4C:02:2D:C5,,"Argox Information Co, Ltd"
57,DESKTOP-PQUV2Q8,Mara,Rec. 1 andar - M,1 andar - M,192.168.6.33,74:86:E2:F6:DB:4D,,PC 3
58,DESKTOP-IHLQ5SG,Lorena,Rec. 1 andar - M,1 andar - M,192.168.6.239,74:86:E2:F6:DA:AD,,PC 1
59,DESKTOP-H5HAT5V,Leticia,Rec. 1 andar - M,1 andar - M,192.168.6.233,D0:94:66:E8:A8:E5,,PC 4
60,DESKTOP-KN7MV4O,Josi,Rec. 1 andar - M,1 andar - M,192.168.6.120,74:86:E2:F6:96:8A,,PC 2
61,DESKTOP-9SJQ2IU,Rosana,Apoio 1 andar - M,1 andar - M,192.168.6.111,FC:AA:14:F5:4D:00,17,PC 5
62,Roteador,,Sala tec tomografia 1 andar - F02,1 andar - F02,192.168.1.70,14:BD:61:F3:44:22,183,
